text,source_doc,expected,actual,score
odwalla blue protein,Beverages,Frozen organic fruit,0.47832735962348444
sd winston box cigarettes,Tobacco and smoking products and substitutes,Tobacco and smoking products and substitutes,0.5505209840527776
vegan mozzerella shredded lb cheeses,Dairy products and eggs,Canned or jarred organic vegetables,0.6721786034538434
earth balance soy free butter spread retail dairy alternatives retail,Dairy products and eggs,Dairy products and eggs,0.7824804117624253
kohlrabi vegetables,Fresh vegetables,Fresh vegetables,0.7631053901869386
race paper wrapper bamboo brand,Prepared and preserved foods,Paper products,0.7083165675076472
bonito del norte olive oil seafood,Edible oils and fats,Seafood,0.6298237692310404
string bean,Fresh vegetables,Nuts and seeds,0.45982256503677194
nuts almonds slices blanched grocery,Nuts and seeds,Dried vegetables,0.7807463204719899
baking soda,Bread and bakery products,Bread and bakery products,0.6389675039141461
ct pasta,Prepared and preserved foods,Bread and bakery products,0.5195225825992937
sliced beets,Canned or jarred vegetables,Dried vegetables,0.7422591167927555
si,Seasonings and preservatives,Non motorized cycles,0.2006615724624363
cheese muenster slic,Dairy products and eggs,Canned or jarred vegetables,0.4201510122001065
small cucumber bushel vegetables,Fresh vegetables,Fresh vegetables,0.8336272177170607
cg ps eyeliner int black,Personal care products,"Drugs affecting the ears, eye, nose and skin",0.3520404157270412
crackers sourdough sel gris specialty,Bread and bakery products,Bread and bakery products,0.62331658844072
golden fz,Seafood,Fresh cut rose ,0.2815085898996003
post honey bnc ots stb,Cereal and pulse products,Nuts and seeds,0.28720083752284353
select white paper con,Paper products,Paper products,0.6292635567054098
packer chicken airline,Meat and poultry products,Meat and poultry products,0.5773675497230106
y style potatoe peeler paper non food items,Domestic kitchenware and kitchen supplies,Non edible animal products,0.6691255992205908
yukon gold fries skin case potatoes,Prepared and preserved foods,Frozen vegetables,0.6666238863603956
asparagus jumbo,Fresh vegetables,Dried vegetables,0.654248804029738
cherries stm condiments,Fresh fruits,Canned or jarred fruit,0.6518802068647288
limes ct lb splits,Fresh fruits,Dried fruit,0.5008062575794046
fresh sliced potato lb frozen groceries,Frozen vegetables,Frozen vegetables,0.8606442378025267
bic blue med pt,Office supplies,"Drugs affecting the ears, eye, nose and skin",0.32527312640523415
black sea bass bass,Seafood,Fresh cut blooms of high species or variety count flowers,0.5120641538225044
spag rings w meatballs,Meat and poultry products,Frozen vegetables,0.4539108435402397
garlic,Fresh vegetables,Dried vegetables,0.7491550384212099
orange thunder cleaner paper non food items,Cleaning and janitorial supplies,Non edible animal products,0.7434637256269943
,Personal care products,Machinings,1.0
anti microbial hand lotion,Personal care products,Anti infective drugs,0.6368270264455786
espresso fine drip ground grocery base bev cereal cookie,Prepared and preserved foods,Frozen organic fruit,0.709606767121568
truffle slicer miscellaneous,Domestic kitchenware and kitchen supplies,Bread and bakery products,0.4955997610106171
orange cara cara fruits,Fresh fruits,Fresh fruits,0.5637306006177315
day fruit bites men,Prepared and preserved foods,Fresh fruits,0.6942224839191932
drinking straw accessories,Industrial food and beverage equipment,Camping and outdoor equipment and accessories,0.6397073573263086
spinach bunched california,Fresh vegetables,Dried vegetables,0.6245316027706981
cannelini beans dry,Canned or jarred vegetables,Dried vegetables,0.6786398008009353
ob sugg sub wi swisher banana smash tobacco cigars,Tobacco and smoking products and substitutes,Tobacco and smoking products and substitutes,0.5342116381916057
ez mix cycle oil auto misc,Automotive specialty tools,Oil and gas extraction and production enhancement services,0.6251870156698099
agave nectar groceries,Prepared and preserved foods,Pureed fruit,0.6607141127324243
loin sk co,Seafood,Meat and poultry products,0.32977647801083165
